#{"t_start": 1776169884.952789, "env_id": "None"}
r,l,t
10.599992,6,8.184335
12.031258,7,8.196523
11.095364,7,8.20213
10.987229,6,8.217644
10.843166,6,8.230755
10.750325,6,8.234859
14.264987,8,8.249407
12.08234,7,8.258198
12.135047,7,8.26567
10.390147,6,8.277147
10.249694,6,8.285485
11.854794,7,8.305973
10.197566,6,8.323945
10.283296,6,8.34042
11.883833,7,8.360924
10.946924,6,8.379378
12.27597,7,8.395885
9.239063,5,8.411628
12.121554,7,8.43202
12.124157,7,8.452495
12.337419,7,8.48315
12.401933,7,8.502203
12.173888,7,8.518235
10.871469,6,8.539291
10.798985,6,8.56137
12.110554,7,8.58036
10.720872,6,8.595878
11.59365,7,8.606265
12.129227,7,8.612816
10.264094,6,8.616814
10.63591,6,8.626089
10.493442,6,8.63059
10.801476,6,8.638167
10.120002,6,8.644754
10.980698,6,8.649432
10.868395,6,8.65682
10.871743,6,8.6637
10.980331,6,8.668368
10.099924,6,8.680234
10.392743,6,8.685359
10.549126,6,8.69514
10.973874,6,8.704674
10.838477,6,8.71311
10.468875,6,8.718076
10.335066,6,8.726402
10.240155,6,8.733073
10.682,6,8.747138
9.814444,6,8.761291
10.578371,6,8.765776
11.896874,7,8.776882
12.253223,7,8.782132
10.837586,6,8.786011
11.000582,6,8.793994
10.691476,6,8.798097
12.108211,7,8.801921
13.040719,8,8.811448
11.06687,6,8.815868
10.36263,6,8.824887
11.006833,6,8.829692
11.029815,6,8.84187
9.005466,5,8.850317
10.873807,6,8.878101
11.443734,7,8.896182
10.979427,6,8.902513
10.991512,6,8.910996
11.916036,7,8.917088
12.160415,7,8.927105
12.328709,7,8.933154
10.539793,6,8.942457
12.221082,7,8.949111
10.852213,6,8.958015
10.547818,6,8.9633
12.325475,7,8.968782
10.526253,6,8.978457
10.389931,6,8.98275
10.938238,6,8.986516
11.081469,7,8.996342
10.508024,6,9.003634
10.997199,6,9.011847
9.009876,5,9.018125
12.084082,7,9.028634
12.156216,7,9.039646
12.293646,7,9.048773
10.995854,6,9.058804
11.978041,7,9.067095
12.115761,7,9.076437
11.847456,7,9.095145
9.777905,6,9.102212
11.818577,7,9.111489
11.02652,6,9.11623
12.630427,8,9.12529
9.754474,6,9.131309
10.897821,7,9.135909
11.875447,7,9.143526
10.263565,6,9.148483
11.947496,7,9.158854
11.411618,7,9.164989
10.098473,6,9.177411
12.294896,7,9.182345
10.529161,6,9.193109
10.343185,6,9.198316
10.321535,6,9.209331
10.421471,6,9.215257
12.101957,7,9.2292
11.230339,6,9.234501
10.640907,6,9.24508
10.276488,6,9.249522
10.287916,6,9.254228
10.98042,6,9.262725
12.013338,7,9.268225
10.314929,6,9.276643
10.04521,6,9.280692
11.033557,6,9.285274
11.851009,7,9.293715
11.955689,7,9.29975
10.220571,6,9.307772
10.989233,6,9.312521
11.009148,6,9.316222
12.219027,7,9.326247
10.839733,6,9.332757
12.150072,7,9.343855
10.540982,6,9.350562
10.924029,6,9.359003
10.364333,6,9.365869
10.74264,6,9.375316
10.782892,6,9.381533
12.23265,7,9.386156
10.220261,6,9.395137
10.944101,6,9.400584
12.121695,7,9.410415
10.736842,6,9.416404
10.380384,6,9.427083
10.898674,6,9.432544
10.598615,6,9.442926
9.727627,6,9.45604
12.080448,7,9.462075
10.557714,6,9.466482
10.592538,6,9.476005
12.061297,7,9.481832
10.402715,6,9.485891
12.092221,7,9.494369
9.795479,6,9.49909
10.937761,6,9.502905
11.007065,6,9.514667
10.416551,6,9.519916
10.706396,6,9.527311
10.775528,6,9.531871
9.331694,5,9.535185
11.791149,7,9.545287
10.854779,6,9.556653
11.023734,6,9.56416
12.071652,7,9.581274
10.825969,6,9.596176
10.771416,6,9.605562
10.341955,6,9.614795
10.071904,6,9.626688
12.217142,7,9.632604
10.689446,6,9.6427
23.214736,13,9.651278
10.664625,6,9.660812
10.482004,6,9.665569
10.423649,6,9.670931
12.253755,7,9.679909
12.158306,7,11.746017
10.881427,6,11.751159
12.262768,7,11.761027
10.408351,6,11.766053
9.774627,6,11.771921
12.103348,7,11.779085
10.972707,6,11.783657
10.391442,6,11.792529
10.301676,6,11.797427
12.161386,7,11.802536
12.264795,7,11.813816
10.969759,6,11.819846
10.932657,6,11.830087
12.105968,7,11.841086
10.905068,6,11.85108
11.468488,7,11.862496
10.659814,6,11.877012
10.999726,6,11.883487
11.759342,7,11.896129
9.266142,5,11.90103
10.691882,6,11.91475
10.411841,6,11.927577
11.744731,7,11.944688
11.032402,6,11.959633
12.245877,7,11.965524
10.934946,6,11.971782
10.541201,6,11.981384
10.65208,6,11.987652
11.825778,7,11.996511
10.577437,6,12.00476
10.57774,6,12.014692
10.683161,6,12.027993
10.796459,6,12.034337
11.049677,6,12.044029
10.912781,6,12.051671
10.893957,6,12.06201
12.194989,7,12.067592
12.017447,7,12.078392
14.519005,8,12.087066
10.603366,6,12.097383
10.375943,6,12.109246
12.300784,7,12.117016
11.944464,7,12.128544
11.910976,7,12.134431
10.353572,6,12.146093
10.201022,6,12.152267
10.839478,6,12.164943
12.888601,8,12.176885
12.136155,7,12.184245
10.859182,6,12.191105
10.34611,6,12.198167
10.2096,6,12.210947
10.731665,6,12.221663
10.798491,6,12.232742
10.896607,6,12.244691
10.294729,6,12.252421
14.801088,9,12.269989
10.929044,6,12.283219
10.124003,6,12.298439
10.421115,6,12.309466
10.341217,6,12.32567
10.154941,6,12.334468
10.162301,6,12.349
10.773158,6,12.360359
11.027485,6,12.365539
10.291652,6,12.375917
10.38186,6,12.381524
10.511649,6,12.391001
14.469127,8,12.4007
10.960462,6,12.409815
10.886661,6,12.415281
10.583475,6,12.426652
10.173792,6,12.43102
10.348867,6,12.440716
12.244842,7,12.449773
12.17012,7,12.457678
11.015329,6,12.462493
10.254763,6,12.469898
10.924848,6,12.479129
10.629632,6,12.493373
12.002829,7,12.506511
12.922876,7,12.516858
10.737086,6,12.530607
11.020668,6,12.544535
11.089118,6,12.554811
10.283144,6,12.568121
12.68058,7,12.582099
10.995205,6,12.596839
10.739654,6,12.612265
10.390376,6,12.627864
12.253509,7,12.643654
12.378305,7,12.660027
12.280764,7,12.673492
12.014994,7,12.693099
9.719466,6,12.706633
10.925405,6,12.718149
9.991368,6,12.73186
11.087386,6,12.746581
10.328617,6,12.762322
10.247695,6,12.775102
10.325029,6,12.78553
12.311247,7,12.800875
10.927157,6,12.816404
12.104314,7,12.830503
10.933159,6,12.844494
10.581429,6,12.85508
12.023892,7,12.869127
10.442523,6,12.883904
10.574082,6,12.897841
9.144746,5,12.913341
12.254092,7,12.932739
12.835048,8,12.950722
10.610275,6,12.964742
9.881437,6,12.9791
15.896346,9,12.993687
10.884109,6,13.000046
10.991707,6,13.005802
12.279342,7,13.012756
10.063045,6,13.016754
10.715411,6,13.021122
10.933285,6,13.031399
10.558834,6,13.036037
10.861958,6,13.046558
12.04631,7,13.053249
10.358931,6,13.063092
10.944628,6,13.075796
9.971396,6,13.083735
10.313187,6,13.094465
12.17596,7,13.109102
9.708583,6,13.117793
