#{"t_start": 1776169974.3279428, "env_id": "None"}
r,l,t
9.521217,6,8.167138
9.817834,6,8.178063
10.911304,6,8.184243
10.015905,6,8.196311
10.635995,6,8.202302
10.216782,6,8.212623
12.100645,7,8.221237
11.917955,7,8.232396
10.434067,6,8.245068
10.660536,6,8.252105
9.895997,6,8.264577
12.045585,7,8.270501
10.777194,6,8.284704
10.751428,6,8.295937
10.68255,6,8.301951
10.524434,6,8.313397
9.823859,6,8.318295
10.025014,6,8.331588
10.101831,6,8.336299
12.132488,7,8.348123
11.888603,7,8.352734
10.992214,6,8.362041
10.269994,6,8.367103
10.329857,6,8.373866
10.890479,6,8.381242
10.086753,6,8.387052
9.963565,6,8.397236
11.947632,7,8.403703
10.589957,6,8.413304
10.847725,6,8.413693
12.843506,8,8.426212
10.837011,6,8.430707
10.369599,6,8.441953
10.386076,6,8.446328
10.499265,6,8.459157
9.9627,6,8.464193
10.889622,6,8.475905
12.16451,7,8.4816
12.619428,8,8.495118
12.082647,7,8.507096
10.164089,6,8.512277
10.294252,6,8.524967
10.842847,6,8.530989
10.496708,6,8.547564
10.875393,6,8.557755
10.577523,6,8.564063
12.121374,7,8.57463
10.657895,6,8.580253
12.472166,7,8.593391
11.926757,7,8.598652
9.585168,6,8.608364
10.371504,6,8.614078
10.367408,6,8.624286
10.719519,6,8.630923
10.122496,6,8.64105
11.699334,7,8.646282
10.044133,6,8.657124
10.152512,6,8.661991
11.922967,7,8.6742
10.251582,6,8.678897
10.823439,6,8.691438
11.893401,7,8.697591
10.755558,6,8.71899
10.803802,6,8.740542
10.813165,6,8.746652
12.211548,7,8.760085
12.043651,7,8.768804
11.979389,7,8.778942
12.058998,7,8.78988
10.717452,6,8.810858
10.774187,6,8.82875
12.280506,7,8.845412
10.923266,6,8.857386
10.077633,6,8.862895
8.91311,5,8.874658
10.631948,6,8.881893
10.775793,6,8.892625
12.152395,7,8.908075
10.892215,6,8.914255
10.121667,6,8.925954
10.562923,6,8.931573
10.858334,6,8.943076
10.808754,6,8.948311
11.473025,7,8.960764
10.865718,6,8.965368
10.654481,6,8.976274
12.106386,7,8.981056
10.787041,6,8.993747
10.069545,6,9.006946
11.985823,7,9.01307
12.190391,7,9.02506
10.293414,6,9.031043
12.585032,7,9.041928
11.971622,7,9.056694
10.181212,6,9.061256
10.559059,6,9.070641
12.016114,7,9.07578
10.519455,6,9.084353
10.797529,6,9.09381
9.944155,6,11.394661
10.774634,6,11.401931
10.471087,6,11.412893
10.142694,6,11.424559
10.325222,6,11.431235
10.759166,6,11.441504
10.48753,6,11.448026
9.553377,6,11.458124
10.083557,6,11.463212
10.887954,6,11.472891
14.32389,8,11.480181
10.776606,6,11.491355
10.961985,6,11.496458
11.988623,7,11.508376
10.553431,6,11.515756
10.127384,6,11.526954
10.116516,6,11.531187
10.144319,6,11.544948
11.815471,7,11.560258
10.086184,6,11.56728
12.044793,7,11.578966
10.835343,6,11.588556
10.769944,6,11.596647
10.743418,6,11.606473
10.304064,6,11.618382
10.676097,6,11.625734
11.979697,7,11.631804
10.707734,6,11.643613
10.43554,6,11.648248
10.242201,6,11.661801
9.736574,6,11.671316
10.791371,6,11.67649
12.171287,7,11.689443
11.922902,7,11.696888
10.145054,6,11.70741
11.94065,7,11.71489
10.14376,6,11.726491
10.123331,6,11.731591
11.625268,7,11.743197
11.948965,7,11.749064
10.929244,6,11.761304
12.059011,7,11.773664
10.426181,6,11.78047
11.82533,7,11.795439
10.929833,6,11.808372
10.273631,6,11.814808
11.917319,7,11.827969
10.704958,6,11.832643
10.842709,6,11.844902
10.670622,6,11.855349
10.107898,6,11.868606
12.017112,7,11.879807
10.083055,6,11.895335
10.912562,6,11.903548
10.175432,6,11.912352
10.863193,6,11.9246
10.810398,6,11.930308
10.766628,6,11.94183
12.092594,7,11.947049
10.926083,6,11.960521
10.787499,6,11.966915
10.315049,6,11.981933
12.052537,7,11.993142
11.605784,7,12.001152
10.443033,6,12.010252
14.412699,8,12.025084
9.58928,6,12.0307
10.761774,6,12.045413
12.075367,7,12.056496
10.910155,6,12.061629
10.835224,6,12.074383
10.770041,6,12.080873
11.939471,7,12.093462
10.705649,6,12.098289
10.30479,6,12.109635
11.617978,7,12.12433
14.144935,8,12.1306
11.910371,7,12.142948
11.902473,7,12.149142
11.890589,7,12.160063
10.227403,6,12.165752
10.826146,6,12.177078
12.064574,7,12.188797
12.1911,7,12.195026
11.81327,7,12.209511
10.875518,6,12.214728
10.594311,6,12.225016
10.762027,6,12.23067
11.718612,7,12.24004
10.771039,6,12.246388
10.898034,6,12.257024
11.871288,7,12.264641
11.899911,7,12.275689
10.881663,6,12.28062
11.698411,7,12.291267
10.365716,6,12.296583
9.801328,6,12.308953
10.692676,6,12.314577
10.104427,6,12.323559
10.618565,6,12.32844
11.989692,7,12.341662
12.661397,7,12.352443
10.467463,6,12.359035
10.497031,6,12.364792
10.834409,6,12.376829
10.911049,6,12.382082
12.071952,7,12.396101
10.645287,6,12.406854
10.484493,6,12.413131
10.833032,6,12.423328
10.084351,6,12.427804
10.187727,6,12.433464
11.858825,7,12.444224
11.91803,7,12.459172
11.721049,7,12.465864
10.121541,6,12.477331
10.479264,6,12.488701
11.694478,7,12.497164
10.134992,6,12.509726
11.930794,7,12.523629
10.570952,6,12.52871
10.809152,6,12.539765
10.204539,6,12.544507
9.942624,6,12.555186
10.442371,6,12.559972
10.787441,6,12.565281
8.910152,5,12.575644
10.272282,6,12.581507
9.868941,6,12.592393
9.865059,6,12.596765
11.762141,7,12.609082
12.095608,7,12.615121
10.536167,6,12.625131
10.612067,6,12.637712
11.979274,7,12.658411
11.55914,7,12.690627
10.140972,6,12.710718
11.831571,7,12.730521
10.667054,6,12.759811
10.884039,6,12.778658
10.249436,6,12.809598
10.809408,6,12.840629
10.043726,6,12.846533
9.779881,6,12.856379
10.90236,6,12.861619
13.097551,8,12.872214
10.082266,6,12.879141
10.280122,6,12.888894
11.74679,7,12.909244
10.856107,6,12.927208
10.360252,6,12.940639
10.046295,6,12.949749
10.508376,6,12.961632
10.096511,6,12.979157
10.888784,6,13.00563
10.138469,6,13.014438
12.107735,7,13.027419
11.65788,7,13.038791
10.995407,7,13.04528
12.098645,7,13.062044
10.537286,6,13.075582
10.215363,6,13.088953
11.816381,7,13.094774
10.809618,6,13.101763
12.092886,7,13.109752
10.32789,6,13.114378
11.480188,7,13.12693
12.142895,7,13.13323
9.456137,6,13.140885
9.677994,6,13.145096
9.880728,6,13.160375
8.905082,5,13.171398
11.936302,7,13.176786
10.476936,6,13.189453
11.9587,7,13.19455
12.091329,7,13.206342
10.473449,6,13.212696
16.032303,9,13.223658
10.280221,6,13.229181
10.563045,6,13.240169
10.353175,6,13.246161
12.091911,7,13.256433
10.89707,6,13.263946
12.221867,7,13.275165
10.412147,6,13.279814
10.156868,6,13.289746
10.827951,6,13.294784
11.671247,7,13.306915
8.871404,5,13.310863
10.694387,6,13.317326
10.445699,6,13.324932
10.877584,6,13.329941
10.731897,6,13.342269
10.866603,6,13.356234
11.996389,7,13.361621
10.172553,6,13.366151
10.780505,6,13.375968
10.122479,6,13.381076
10.501961,6,13.394238
14.474044,8,13.411518
11.303806,7,13.418884
10.843994,6,13.428336
9.07094,5,13.432654
10.607577,6,13.443094
10.463991,6,13.448229
9.113515,5,13.458507
11.890951,7,13.463457
10.886404,6,13.471207
10.788692,6,13.476628
12.065713,7,13.490852
12.023905,7,13.495937
8.977049,5,13.500451
10.124567,6,13.509548
10.485316,6,13.51831
10.831848,6,13.525504
10.316411,6,13.532915
11.958364,7,13.542506
10.62427,6,13.548985
11.92883,7,13.558444
10.566843,6,13.563493
11.744638,7,13.574318
9.560145,6,13.57907
10.515193,6,13.587993
11.714173,7,13.596196
10.438101,6,13.60571
10.019396,6,13.614743
11.993277,7,13.625423
10.224801,6,13.629987
10.946191,6,13.63876
9.772469,6,13.647305
12.945493,7,13.660608
11.926208,7,13.665674
12.049273,7,13.675889
12.31927,7,13.682413
10.225479,6,13.692233
10.777414,6,13.699083
11.283509,7,13.709786
11.774453,7,13.71543
12.089423,7,13.726303
10.714936,6,13.740927
10.771704,6,13.749047
10.590414,6,13.759174
10.355621,6,13.763783
10.729513,6,13.77411
12.001938,7,13.779497
10.911866,6,13.790828
11.814778,7,13.797433
9.519076,6,13.809911
10.847159,6,13.815311
11.888892,7,13.826596
10.16505,6,13.831419
10.791633,6,13.84402
11.96379,7,13.850743
10.919584,6,13.861858
12.100714,7,13.873238
11.782618,7,13.879535
10.917521,6,13.892248
10.652024,6,13.90094
11.965969,7,13.912372
11.659699,7,13.927152
10.355687,6,13.942836
10.415298,6,13.947959
9.952138,6,13.960207
9.180883,5,13.964438
11.641718,7,13.977424
10.003961,6,13.982475
11.885213,7,13.99442
9.031807,5,13.999782
10.550638,6,14.011096
11.933979,7,14.016334
10.179545,6,14.026918
12.145867,7,14.032544
11.823204,7,14.043049
11.876825,7,14.049576
10.438002,6,14.060828
11.560587,7,14.065713
8.889685,5,14.076369
10.730522,6,14.081635
10.903243,6,14.093725
10.526225,6,14.098892
10.77018,6,14.110337
10.528418,6,14.117433
9.018575,5,14.126279
10.407955,6,14.132071
13.621135,8,14.143969
10.555061,6,14.148553
10.997489,6,14.159302
12.134653,7,14.171063
11.779376,7,14.178619
11.630071,7,14.190939
9.560985,6,14.196542
10.743806,6,14.209116
10.178583,6,14.214381
10.75584,6,14.226752
10.007552,6,14.2325
10.691072,6,14.242658
10.936557,6,14.247272
11.945823,7,14.26132
8.946131,5,14.273515
10.863631,6,14.278742
10.860849,6,14.290435
12.27965,7,14.296931
10.627245,6,14.310268
10.865187,6,14.316116
10.896573,6,14.328559
10.20569,6,14.333629
11.80798,7,14.345504
12.039015,7,14.358312
10.649324,6,14.363975
9.681797,6,14.374658
10.442709,6,14.380608
10.634209,6,14.393236
10.269387,6,14.398132
12.113991,7,14.410039
10.888853,6,14.414822
10.160759,6,14.427189
10.929734,6,14.431749
10.181254,6,14.443321
10.263788,6,14.449004
10.783976,6,14.462483
10.891325,6,14.470369
11.303196,7,14.478133
9.993457,6,14.48999
11.974074,7,14.496079
10.680122,6,18.609351
11.994492,7,18.615769
9.974203,6,18.62615
12.503406,7,18.632276
12.030978,7,18.643009
11.070439,7,18.649055
10.321464,6,18.659167
10.93611,6,18.663875
10.418338,6,18.674788
10.650422,6,18.679631
